domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C2_sum,tightness,C3_minps,minps_ratio,span
GraphColouring,0144-wgc-n100-d70-p61.asp,42505,7894,5.384469,28.992509,156.109271,0.185719,0.034492,0.006406,0.004729,0.823668,0.0,0.990542,7193,0.17158,0.823691,0.823691,CLINGO-AMO,0.754814,1.5810888510282006,3938.0,9400.0,0.41893617021276597,200.0,19.69,6200.0
GraphColouring,0144-wgc-n100-d70-p71.asp,42505,7894,5.384469,28.992509,156.109271,0.185719,0.034492,0.006406,0.004729,0.823668,0.0,0.990542,7193,0.17158,0.823691,0.823691,CLINGO-AMO,0.691496,1.7225349098187115,4600.0,9400.0,0.48936170212765956,200.0,23.0,6200.0
GraphColouring,0145-wgc-n100-d70-p20.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,EOCLINGO-INF-MR,8.045446,1.8293986436550564,1312.0,9400.0,0.13957446808510637,200.0,6.56,6200.0
GraphColouring,0145-wgc-n100-d70-p28.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,EOCLINGO-L,1.289109,1.5643285401001776,1818.0,9400.0,0.19340425531914893,200.0,9.09,6200.0
GraphColouring,0145-wgc-n100-d70-p59.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,CLINGO-AMO,0.756137,1.5663695864638287,3839.0,9400.0,0.4084042553191489,200.0,19.195,6200.0
GraphColouring,0145-wgc-n100-d70-p68.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,CLINGO-AMO,0.678923,1.7369024175053722,4373.0,9400.0,0.4652127659574468,200.0,21.865,6200.0
GraphColouring,0146-wgc-n100-d70-p30.asp,42241,7850,5.381019,28.955367,155.809381,0.185838,0.034536,0.006418,0.004758,0.823607,0.0,0.990483,7149,0.171611,0.823631,0.823631,EOCLINGO-L,1.221534,1.5049495142992335,1923.0,9400.0,0.20457446808510638,200.0,9.615,6200.0
GraphColouring,0146-wgc-n100-d70-p59.asp,42241,7850,5.381019,28.955367,155.809381,0.185838,0.034536,0.006418,0.004758,0.823607,0.0,0.990483,7149,0.171611,0.823631,0.823631,CLINGO-AMO,0.860907,1.3755132668220842,3782.0,9400.0,0.4023404255319149,200.0,18.91,6200.0
GraphColouring,0146-wgc-n100-d70-p70.asp,42241,7850,5.381019,28.955367,155.809381,0.185838,0.034536,0.006418,0.004758,0.823607,0.0,0.990483,7149,0.171611,0.823631,0.823631,CLINGO-AMO,0.730385,1.6328826577763784,4512.0,9400.0,0.48,200.0,22.56,6200.0
GraphColouring,0147-wgc-n100-d70-p20.asp,42517,7896,5.384625,28.994188,156.122832,0.185714,0.03449,0.006405,0.004728,0.823671,0.0,0.990545,7195,0.171578,0.823694,0.823694,EOCLINGO-INF-MR,10.230866,1.3234271663806367,1325.0,9400.0,0.14095744680851063,200.0,6.625,6200.0
GraphColouring,0147-wgc-n100-d70-p28.asp,42517,7896,5.384625,28.994188,156.122832,0.185714,0.03449,0.006405,0.004728,0.823671,0.0,0.990545,7195,0.171578,0.823694,0.823694,EOCLINGO-L,1.320642,2.572643456743008,1799.0,9400.0,0.19138297872340426,200.0,8.995,6200.0
GraphColouring,0147-wgc-n100-d70-p60.asp,42517,7896,5.384625,28.994188,156.122832,0.185714,0.03449,0.006405,0.004728,0.823671,0.0,0.990545,7195,0.171578,0.823694,0.823694,CLINGO-AMO,0.739572,1.6090657839939857,3883.0,9400.0,0.41308510638297874,200.0,19.415,6200.0
GraphColouring,0148-wgc-n100-d70-p60.asp,42769,7938,5.387881,29.029263,156.406214,0.185602,0.034448,0.006394,0.0047,0.823727,0.0,0.990601,7237,0.171549,0.823751,0.823751,CLINGO-AMO,0.791094,1.5036822425653589,3901.0,9400.0,0.415,200.0,19.505,6200.0
GraphColouring,0148-wgc-n100-d70-p79.asp,42769,7938,5.387881,29.029263,156.406214,0.185602,0.034448,0.006394,0.0047,0.823727,0.0,0.990601,7237,0.171549,0.823751,0.823751,CLINGO-AMO,0.6585340000000001,1.814463641968372,5112.0,9400.0,0.5438297872340425,200.0,25.56,6200.0
