domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0145-wgc-n100-d70-p59.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,CLINGO-AMO,0.756137,1.5663695864638287,3839.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.59984375,19.195,0.4084042553191489
GraphColouring,0145-wgc-n100-d70-p68.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,CLINGO-AMO,0.678923,1.730468698217618,4373.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.68328125,21.865,0.4652127659574468
GraphColouring,0146-wgc-n100-d70-p59.asp,42241,7850,5.381019,28.955367,155.809381,0.185838,0.034536,0.006418,0.004758,0.823607,0.0,0.990483,7149,0.171611,0.823631,0.823631,CLINGO-AMO,0.860907,1.3755132668220842,3782.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.5909375,18.91,0.4023404255319149
GraphColouring,0146-wgc-n100-d70-p70.asp,42241,7850,5.381019,28.955367,155.809381,0.185838,0.034536,0.006418,0.004758,0.823607,0.0,0.990483,7149,0.171611,0.823631,0.823631,CLINGO-AMO,0.730385,1.6317161497018695,4512.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.705,22.56,0.48
GraphColouring,0147-wgc-n100-d70-p20.asp,42517,7896,5.384625,28.994188,156.122832,0.185714,0.03449,0.006405,0.004728,0.823671,0.0,0.990545,7195,0.171578,0.823694,0.823694,EOCLINGO-INF-MR,10.230866,1.3234271663806367,1325.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.20703125,6.625,0.14095744680851063
GraphColouring,0147-wgc-n100-d70-p28.asp,42517,7896,5.384625,28.994188,156.122832,0.185714,0.03449,0.006405,0.004728,0.823671,0.0,0.990545,7195,0.171578,0.823694,0.823694,EOCLINGO-L,1.320642,1.4080795552466148,1799.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.28109375,8.995,0.19138297872340426
GraphColouring,0147-wgc-n100-d70-p60.asp,42517,7896,5.384625,28.994188,156.122832,0.185714,0.03449,0.006405,0.004728,0.823671,0.0,0.990545,7195,0.171578,0.823694,0.823694,CLINGO-AMO,0.739572,1.6090657839939857,3883.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.60671875,19.415,0.41308510638297874
GraphColouring,0148-wgc-n100-d70-p60.asp,42769,7938,5.387881,29.029263,156.406214,0.185602,0.034448,0.006394,0.0047,0.823727,0.0,0.990601,7237,0.171549,0.823751,0.823751,CLINGO-AMO,0.791094,1.5036822425653589,3901.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.60953125,19.505,0.415
GraphColouring,0148-wgc-n100-d70-p79.asp,42769,7938,5.387881,29.029263,156.406214,0.185602,0.034448,0.006394,0.0047,0.823727,0.0,0.990601,7237,0.171549,0.823751,0.823751,CLINGO-AMO,0.6585340000000001,1.8108313314118931,5112.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.79875,25.56,0.5438297872340425
GraphColouring,0149-wgc-n100-d70-p30.asp,41677,7756,5.373517,28.874688,155.158634,0.186098,0.034632,0.006445,0.004823,0.823476,0.0,0.990354,7055,0.171677,0.8235,0.8235,EOCLINGO-L,1.175866,1.2039407551540735,1968.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.3075,9.84,0.2093617021276596
GraphColouring,0149-wgc-n100-d70-p60.asp,41677,7756,5.373517,28.874688,155.158634,0.186098,0.034632,0.006445,0.004823,0.823476,0.0,0.990354,7055,0.171677,0.8235,0.8235,CLINGO-AMO,0.78047,1.5036144887055236,3873.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.60515625,19.365,0.41202127659574467
GraphColouring,0150-wgc-n100-d70-p60.asp,41977,7806,5.37753,28.91783,155.506502,0.185959,0.034581,0.006431,0.004788,0.823546,0.0,0.990423,7105,0.171642,0.82357,0.82357,CLINGO-AMO,0.96618,1.2206079612494567,3897.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.60890625,19.485,0.4145744680851064
GraphColouring,0150-wgc-n100-d70-p71.asp,41977,7806,5.37753,28.91783,155.506502,0.185959,0.034581,0.006431,0.004788,0.823546,0.0,0.990423,7105,0.171642,0.82357,0.82357,CLINGO-AMO,0.6653530000000001,1.771928585277289,4577.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.71515625,22.885,0.4869148936170213
GroupAssignment,00003-group_assignment-p50-pr5-sat.asp,9606,13946,0.6888,0.474445,0.326798,1.451801,2.107726,3.059999,0.407037,0.171768,0.0,0.248907,1786,0.357693,0.23527,0.23527,CLINGO-AMO,0.779788,1.5589493554658445,507308.0,10147500.0,32877900.0,3247200.0,6900300.0,0.30864197530864196,0.04999339738851934,0.15622936683912295,0.015430060922382513
GroupAssignment,00004-group_assignment-p50-pr5-sat.asp,12606,18746,0.672463,0.452207,0.304093,1.48707,2.211376,3.28847,0.405363,0.178486,0.0,0.237268,2386,0.367761,0.226876,0.226876,EOCLINGO-L,2.038364,1.3356824394465363,691779.0,13837500.0,44833500.0,4428000.0,9409500.0,0.30864197530864196,0.049993062330623304,0.15622831978319784,0.015429957509451638
GroupAssignment,00007-group_assignment-p50-pr5-middle.asp,12606,18746,0.672463,0.452207,0.304093,1.48707,2.211376,3.28847,0.405363,0.178486,0.0,0.237268,2386,0.367761,0.226876,0.226876,EOCLINGO-INF-MR,2.26846,2.999934757500683,2771441.0,13837500.0,44833500.0,4428000.0,9409500.0,0.30864197530864196,0.20028480578139116,0.6258900180668473,0.06181629808067628
GroupAssignment,00008-group_assignment-p50-pr5-middle.asp,11856,17546,0.67571,0.456583,0.308518,1.479926,2.19018,3.241304,0.405702,0.177126,0.0,0.239626,2236,0.365722,0.228576,0.228576,EOCLINGO-L,4.955829,1.239872683258442,2584070.0,12915000.0,41844600.0,4132800.0,8782200.0,0.30864197530864196,0.20008284939992257,0.6252589043747581,0.061753965864173636
GroupAssignment,00009-group_assignment-p50-pr5-middle.asp,8106,11546,0.702061,0.49289,0.346039,1.424377,2.02885,2.889847,0.40834,0.166543,0.0,0.257957,1486,0.349864,0.241796,0.241796,EOCLINGO-L,1.819947,1.6050797083651338,1660739.0,8302500.0,26900100.0,2656800.0,5645700.0,0.30864197530864196,0.20002878651008732,0.6250899578440229,0.06173727978706399
GroupAssignment,00011-group_assignment-p50-pr5-middle.asp,11106,16346,0.679432,0.461628,0.313645,1.471817,2.166245,3.188317,0.406087,0.175581,0.0,0.242301,2086,0.363407,0.230506,0.230506,EOCLINGO-INF-MR,3.017236,2.679803303420747,2402117.0,11992500.0,38855700.0,3837600.0,8154900.0,0.30864197530864196,0.20030160516989784,0.6259425161559308,0.061821483077128966
GroupAssignment,00012-group_assignment-p50-pr5-middle.asp,11106,16346,0.679432,0.461628,0.313645,1.471817,2.166245,3.188317,0.406087,0.175581,0.0,0.242301,2086,0.363407,0.230506,0.230506,EOCLINGO-L,7.179049,1.5962199171505864,2398592.0,11992500.0,38855700.0,3837600.0,8154900.0,0.30864197530864196,0.20000767146133,0.6250239733166563,0.06173076279670679
GroupAssignment,00013-group_assignment-p50-pr5-middle.asp,11106,16346,0.679432,0.461628,0.313645,1.471817,2.166245,3.188317,0.406087,0.175581,0.0,0.242301,2086,0.363407,0.230506,0.230506,AMOCLINGO-INF-MR,2.306176,1.346601473608259,2398099.0,11992500.0,38855700.0,3837600.0,8154900.0,0.30864197530864196,0.1999665624348551,0.6248955076089222,0.061718074825572566
GroupAssignment,00015-group_assignment-p50-pr5-middle.asp,11856,17546,0.67571,0.456583,0.308518,1.479926,2.19018,3.241304,0.405702,0.177126,0.0,0.239626,2236,0.365722,0.228576,0.228576,EOCLINGO-L,4.877082,2.2145440654883397,2583219.0,12915000.0,41844600.0,4132800.0,8782200.0,0.30864197530864196,0.20001695702671313,0.6250529907084785,0.06173362871194849
GroupAssignment,00031-group_assignment-p100-pr5-sat.asp,25156,37446,0.671794,0.451307,0.303186,1.488551,2.215785,3.298311,0.405867,0.178884,0.0,0.236166,4736,0.367149,0.226984,0.226984,EOCLINGO-INF-MR,3.841282,2.571973887884305,1395615.0,27900000.0,90396000.0,8928000.0,18972000.0,0.30864197530864196,0.050022043010752686,0.15631888440860214,0.015438902163812558
GroupAssignment,00032-group_assignment-p100-pr5-sat.asp,19156,27846,0.687926,0.473243,0.325556,1.453644,2.11308,3.071666,0.407705,0.17227,0.0,0.247494,3536,0.356859,0.235435,0.235435,EOCLINGO-INF-MR,2.871815,1.412215271526892,1022224.0,20460000.0,66290400.0,6547200.0,13912800.0,0.30864197530864196,0.049962072336265886,0.1561314760508309,0.01542039269637836
GroupAssignment,00033-group_assignment-p100-pr5-sat.asp,19156,27846,0.687926,0.473243,0.325556,1.453644,2.11308,3.071666,0.407705,0.17227,0.0,0.247494,3536,0.356859,0.235435,0.235435,EOCLINGO-L,3.068708,1.2194086240854458,1023390.0,20460000.0,66290400.0,6547200.0,13912800.0,0.30864197530864196,0.05001906158357771,0.15630956744868035,0.015437981970240034
GroupAssignment,00035-group_assignment-p100-pr5-sat.asp,20656,30246,0.682933,0.466398,0.318519,1.464272,2.144092,3.139534,0.407146,0.174284,0.0,0.244045,3836,0.359992,0.232862,0.232862,EOCLINGO-L,3.301954,1.8771515290643055,1115181.0,22320000.0,72316800.0,7142400.0,15177600.0,0.30864197530864196,0.049963306451612906,0.15613533266129032,0.015420773596176822
GroupAssignment,00036-group_assignment-p100-pr5-middle.asp,17656,25446,0.693862,0.481444,0.334055,1.44121,2.077086,2.993516,0.40836,0.169914,0.0,0.251529,3236,0.353194,0.238446,0.238446,EOCLINGO-INF-MR,9.683143,1.3119270261732168,3719521.0,18600000.0,60264000.0,5952000.0,12648000.0,0.30864197530864196,0.19997424731182795,0.6249195228494624,0.061720446701181465
GroupAssignment,00037-group_assignment-p100-pr5-middle.asp,17656,25446,0.693862,0.481444,0.334055,1.44121,2.077086,2.993516,0.40836,0.169914,0.0,0.251529,3236,0.353194,0.238446,0.238446,EOCLINGO-L,9.589846,1.419432178577216,3717031.0,18600000.0,60264000.0,5952000.0,12648000.0,0.30864197530864196,0.19984037634408602,0.6245011760752688,0.061679128501261116
GroupAssignment,00038-group_assignment-p100-pr5-middle.asp,22156,32646,0.678674,0.460599,0.312597,1.473461,2.171087,3.199012,0.406662,0.176025,0.0,0.241063,4136,0.362701,0.230637,0.230637,EOCLINGO-INF-MR,11.078961,1.5211290120075338,4837516.0,24180000.0,78343200.0,7737600.0,16442400.0,0.30864197530864196,0.2000626964433416,0.6251959263854425,0.061747745815846175
GroupAssignment,00039-group_assignment-p100-pr5-middle.asp,20656,30246,0.682933,0.466398,0.318519,1.464272,2.144092,3.139534,0.407146,0.174284,0.0,0.244045,3836,0.359992,0.232862,0.232862,EOCLINGO-L,13.284442,2.193247785642784,4457897.0,22320000.0,72316800.0,7142400.0,15177600.0,0.30864197530864196,0.1997265681003584,0.6241455253136201,0.06164400250011062
GroupAssignment,00040-group_assignment-p100-pr5-middle.asp,28156,42246,0.666477,0.444192,0.296044,1.500426,2.251279,3.377878,0.405242,0.181134,0.0,0.232313,5336,0.370649,0.224109,0.224109,AMOCLINGO-INF-MR,28.113427,1.2694468376267327,6328162.0,31620000.0,102448800.0,10118400.0,21501600.0,0.30864197530864196,0.20013162555344718,0.6254113298545224,0.06176902023254543
GroupAssignment,00041-group_assignment-p100-pr5-middle.asp,22156,32646,0.678674,0.460599,0.312597,1.473461,2.171087,3.199012,0.406662,0.176025,0.0,0.241063,4136,0.362701,0.230637,0.230637,AMOCLINGO-INF-MR,10.566355,2.063963684733288,4837701.0,24180000.0,78343200.0,7737600.0,16442400.0,0.30864197530864196,0.20007034739454094,0.6252198356079405,0.06175010722053733
GroupAssignment,00042-group_assignment-p100-pr5-middle.asp,20656,30246,0.682933,0.466398,0.318519,1.464272,2.144092,3.139534,0.407146,0.174284,0.0,0.244045,3836,0.359992,0.232862,0.232862,EOCLINGO-L,10.249256,1.8838043463837764,4464806.0,22320000.0,72316800.0,7142400.0,15177600.0,0.30864197530864196,0.2000361111111111,0.6251128472222223,0.061739540466392316
GroupAssignment,00043-group_assignment-p100-pr5-middle.asp,20656,30246,0.682933,0.466398,0.318519,1.464272,2.144092,3.139534,0.407146,0.174284,0.0,0.244045,3836,0.359992,0.232862,0.232862,AMOCLINGO-INF-MR,7.235959999999999,1.2420694697040893,4463577.0,22320000.0,72316800.0,7142400.0,15177600.0,0.30864197530864196,0.19998104838709677,0.6249407762096775,0.061722545798486655
