domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0008-wgc-n20-d30-p61.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,EOCLINGO-INF-MR,0.508391,789.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.61640625,19.725,0.4196808510638298
GraphColouring,0008-wgc-n20-d30-p68.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.406217,875.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.68359375,21.875,0.4654255319148936
GraphColouring,0008-wgc-n20-d30-p79.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,WASP-AMO,0.167572,1019.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.79609375,25.475,0.5420212765957447
GraphColouring,0008-wgc-n20-d30-p8.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.0829699999999999,105.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.08203125,2.625,0.05585106382978723
GraphColouring,0008-wgc-n20-d30-p89.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.114805,1141.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.89140625,28.525,0.6069148936170212
GraphColouring,0009-wgc-n20-d30-p18.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.083443,235.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.18359375,5.875,0.125
GraphColouring,0009-wgc-n20-d30-p31.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.083565,406.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.3171875,10.15,0.21595744680851064
GraphColouring,0009-wgc-n20-d30-p41.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.083581,527.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.41171875,13.175,0.2803191489361702
GraphColouring,0009-wgc-n20-d30-p48.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.086618,618.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.4828125,15.45,0.32872340425531915
GraphColouring,0009-wgc-n20-d30-p58.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,EOCLINGO-L,0.506677,749.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.58515625,18.725,0.3984042553191489
GraphColouring,0009-wgc-n20-d30-p68.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,AMOCLINGO-L,0.5041439999999999,870.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.6796875,21.75,0.4627659574468085
GraphColouring,0009-wgc-n20-d30-p79.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.087211,1020.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.796875,25.5,0.5425531914893617
GraphColouring,0009-wgc-n20-d30-p89.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.105682,1143.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.89296875,28.575,0.6079787234042553
GraphColouring,0009-wgc-n20-d30-p9.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.084511,122.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.0953125,3.05,0.06489361702127659
GraphColouring,0010-wgc-n20-d30-p11.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.083777,147.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.11484375,3.675,0.07819148936170213
